id_local,documento,onda_inclusao,tag,titulo,situacao_no_doc,qtd_comentarios_abertos,bloqueio_negocio,trecho_bloqueio
B2B-22,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,MACD / ENTERPRISE CPQ,Upgrade de Serviços B2B COM Refidelização Contratual Intencional,VIGENTE,22,N,
B2B-23,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,MACD / ENTERPRISE CPQ,Upgrade de Serviços B2B SEM Refidelização Contratual (Manutenção da Vigência Original),VIGENTE,6,N,
B2B-24,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,MACD - RETENÇÃO & CHURN,"Solicitação de Cancelamento B2B, Esteira Sequencial de Retenção e Billing Stop (TMF622)",VIGENTE,2,S,Fernanda da Silveira Duarte 2026-09-15: Essa história não ver validar agora pois estamos pendentes da área de negócio retornar com as premissas...
B2B-25,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,MACD / ENTERPRISE CPQ,"Downgrade Contratual B2B, Recálculo de Delta MRR e Apuração de Fidelidade",VIGENTE,10,N,
B2B-26,Especificação Funcional e Técnica B2B (3).docx,Histórias novas,MACD / CLM,Refidelização Pura e Simples B2B (Renovação sem Alteração de Escopo),VIGENTE,7,S,Fernanda da Silveira Duarte 2026-09-16: Ponto de atenção aqui: mapeamos como - A refidelização contempla todas as etiquetas da proposta (contrato guarda-chuva).  Porém pode ser que esta regra mude. Ag
B2B-27,Especificação Funcional e Técnica B2B (3).docx,Histórias novas,MACD - RETENÇÃO & CHURN,"Gestão de Aviso Prévio de Cancelamento B2B, Tentativas de Reversão e Corte Automático",VIGENTE,3,N,
B2B-28,Especificação Funcional e Técnica B2B (3).docx,Histórias novas,ENTERPRISE CPQ / BILLING,Configuração de Condições Especiais de Faturamento e Intervalos de Cobrança B2B,VIGENTE,5,N,
B2B-29,Especificação Funcional e Técnica B2B (3).docx,Histórias novas,CONTRACT LIFECYCLE MANAGEMENT - CLM,Cadência Automática de Notificações de Assinatura (Proposta e Contrato),VIGENTE,0,N,
B2C-US-NEW-01,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas Histórias de Usuário (adicionadas ao escopo),US-NEW-01,Etapa Manual: Preenchimento dos Dados de Faturamento e Parametrização Contratual,VIGENTE,9,N,
B2C-US-NEW-02,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas Histórias de Usuário (adicionadas ao escopo),US-NEW-02,Geração Dinâmica da Minuta do Contrato,VIGENTE,0,N,
B2C-US-NEW-03,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas Histórias de Usuário (adicionadas ao escopo),US-NEW-03,Guarda de Dados para Abordagens Futuras e Gestão de LGPD,VIGENTE,5,N,
B2C-US-01,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,1. Entrada & Qualificação de Lead,US-01,"Ingestão Omnichannel de Leads (Carga Massiva Restrita, QR Code e Form)",VIGENTE,3,N,
B2C-US-02,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,1. Entrada & Qualificação de Lead,US-02,Refatoração da Busca Global e Consulta no Customer Core,VIGENTE,12,N,
B2C-US-03,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,1. Entrada & Qualificação de Lead,US-03,"Captura, Triagem e Roteamento Omni-Channel",VIGENTE,7,N,
B2C-US-04,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,1. Entrada & Qualificação de Lead,US-04,Categorização do Lead (Conversão em Opp ou Descarte como Perdido),VIGENTE,2,N,
B2C-US-05,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,2. Risco & Viabilidade,US-05,Antecipação da Consulta de Débito no Endereço (Pré-Viabilidade / Flag),VIGENTE,4,N,
B2C-US-06,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,2. Risco & Viabilidade,US-06,Consulta Simultânea de Viabilidade Técnica e Crédito B2C,VIGENTE,4,N,
B2C-US-07,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,2. Risco & Viabilidade,US-07,Trilha Alternativa: Oferta Móvel Obrigatória em caso de Inviabilidade,VIGENTE,0,N,
B2C-US-08,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,2. Risco & Viabilidade,US-08,Tratamento de Débito Interno: Ticket Zendesk e SLA de 5 Dias,VIGENTE,7,N,
B2C-US-09,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,2. Risco & Viabilidade,US-09,Regra de Risco: Análise de Contratos sem 1ª Parcela (Gatilho 3º Contrato),VIGENTE,1,N,
B2C-US-10,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,"3. CPQ, Cotação & Contrato",US-10,Tipo de Negociação e Segmentação B2C/B2S por Ticket (< R$ 800),VIGENTE,3,S,"Fernanda da Silveira Duarte 2026-09-01: Regra modificada, ajustar. Critérios de segmentação B2C e B2S: A definição dos critérios de segmentação entre B2C e B2S, para além do critério atual de ticket m | Fernanda da Silveira Duarte 2026-09-01: Regra modificada, ajustar. Critérios de segmentação B2C e B2S: A definição dos critérios de segmentação entre B2C e B2S, para além do critério atual de ticket m"
B2C-US-11,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,"3. CPQ, Cotação & Contrato",US-11,"Seleção Guiada, Combos Promocionais e Filtro Dinâmico por IBGE",VIGENTE,0,N,
B2C-US-12,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,"3. CPQ, Cotação & Contrato",US-12,"Gestão da Taxa de Ativação (R$ 149,90) e Alçadas de Desconto",VIGENTE,5,N,
B2C-US-13,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,"3. CPQ, Cotação & Contrato",US-13,Resumo da Venda e Seleção da Modalidade de Assinatura,VIGENTE,0,N,
B2C-US-14,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,"3. CPQ, Cotação & Contrato",US-14,"Régua de Lembretes , Expiração da Oportunidade por SLA (5 Dias)Aguardando pagamento ou taxa de ativação",VIGENTE,3,N,
B2C-US-15,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,"3. CPQ, Cotação & Contrato",US-15,Recepção Inbound de Vendas 100% Digitais (Touchless Order API),VIGENTE,0,N,
B2C-US-16,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,"4. Pagamento, Delivery & Field Service",US-16,"Emissão, Notificação do Cliente, Comprovante e Mesa de Crédito",VIGENTE,2,N,
B2C-US-17,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,"4. Pagamento, Delivery & Field Service",US-17,"Controle de Pagamento, Isenção de Taxa e Autoagendamento Bot",VIGENTE,0,N,
B2C-US-18,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,"4. Pagamento, Delivery & Field Service",US-18,"List View Gerencial ""Acompanhamento Baixa Bancária""",VIGENTE,0,N,
B2C-US-19,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,"4. Pagamento, Delivery & Field Service",US-19,Field Service: Reagendamento e Cancelamento por Insucesso (72h / 3 Tentativas),VIGENTE,2,N,
B2C-US-20,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,5. Ativação & Encerramento,US-20,Relatório de Instalações Não Realizadas e Notificação Comercial,VIGENTE,0,N,
B2C-US-21,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,5. Ativação & Encerramento,US-21,"Ativação Final no Customer Core e Fechamento Oportunidade ""Ganho""",VIGENTE,0,N,
B2C-US-22,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,5. Ativação & Encerramento,US-22,Carga Automática de Perfil e Edição Restrita de Unidade Operacional,VIGENTE,0,N,
B2C-US-23,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,5. Ativação & Encerramento,US-23,Dashboard Gerencial Executivo e Árvore Segregada de Perdas,VIGENTE,1,N,
B2C-N01,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas histórias (01/09/2026),ORDER MANAGEMENT,Orquestração de Ativação e Provisionamento de Pedido B2C no Customer Core,VIGENTE,0,N,
B2C-N02,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas histórias (01/09/2026),ORDER MANAGEMENT / FIELD SERVICE,Geração e Despacho de Ordem de Serviço (Work Order) para Instalação Física B2C,VIGENTE,0,N,
B2C-N03,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas histórias (01/09/2026),SERVICE CLOUD / OMNISTUDIO,Visão 360 Consolidada do Cliente B2C (Customer 360),VIGENTE,0,N,
B2C-N04,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas histórias (2ª leva),ATENDIMENTO & RETENÇÃO,Tratamento de Desligamento e Reversão de Plano Colaborador,VIGENTE,0,N,
B2C-N05,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas histórias (2ª leva),DASHBOARDS & AUDITORIA,Relatório de Auditoria de Vendas (Cortesia e SWAP) com Débito Interno,VIGENTE,0,N,
B2C-N06,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas histórias (2ª leva),MACD & CPQ,Jornada de Upgrade B2C com Regra de Refidelização Dinâmica (RGC Anatel),SUPERADA por B2C-N09,1,N,
B2C-N07,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas histórias 22/09,MACD & CPQ,Venda Cortesia com Aprovação Prévia e Faturamento Zerado,VIGENTE,0,N,
B2C-N08,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas histórias 22/09,MACD & CPQ,Venda Swap (Permuta) com Preço Flexível e Comprovação,VIGENTE,0,N,
B2C-N09,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas histórias 22/09,MACD / CPQ,Upgrade B2C com Trava de Inadimplência e Refidelização Guarda-Chuva,VIGENTE,0,N,
B2C-N10,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas histórias 22/09,MACD / CPQ,Downgrade B2C com Isenção de Multa Condicionada à Refidelização,VIGENTE,0,N,
B2C-N11,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas histórias 22/09,MACD / CPQ,Sincronização Automática de Refidelização e Data de Reajuste Anual,VIGENTE,0,N,
B2C-N12,Histórias Refinadas B2C - Backlog Completo e Consolidado (3).docx,Novas histórias 22/09,SERVICE & MACD,"Cancelamento Voluntário, Retenção e Desconexão Automática (Disconnect)",VIGENTE,0,N,
