id_local,Name,agf__Description__c,agf__Status__c
B2C-N05,Critério 1 - Carimbo de auditoria na finalização da venda.,"Dado que uma Oportunidade/Ordem classificada como ""Cortesia"" ou ""SWAP"" possui o indicador de débito interno positivo
Quando o Gestor Imediato aprovar a pendência e a ordem for ativada
Então o sistema grava permanentemente os dados do débito e o usuário aprovador no registro da Ordem para fins de auditoria.",New
B2C-N05,Critério 2 - Visualização do relatório pela equipe de crédito.,"Dado que o usuário logado possui o perfil da Equipe de Crédito
Quando ele acessar a aba de Relatórios e abrir o ""Auditoria: Cortesias e SWAP com Débitos""
Então o sistema exibe a lista detalhada das transações aprovadas, permitindo agrupamento por Gestor Aprovador e Regional.",New
B2C-N07,Critério 1 - Submissão e Aprovação de Cortesia para CPF Adimplente,"Dado que o Vendedor inicia uma Oportunidade de Cortesia para um CPF sem débitos internos
Quando o carrinho de produtos é submetido com valor R$ 0,00
Então o sistema bloqueia a geração da Ordem e direciona uma notificação de Aprovação (Approval Process) ao Gestor Imediato.",New
B2C-N07,Critério 2 - Excedente do SLA de Assinatura,"Dado que o Gestor aprovou a cortesia e a minuta do contrato foi enviada ao consumidor
Quando o prazo de 5 dias expirar sem o status do contrato ser atualizado para ""Assinado""
Então o sistema executa a ação temporizada, alterando a Oportunidade para ""Fechada Perdida"" com o motivo ""Expiração do Prazo de Assinatura"".",New
B2C-N08,Critério 1 - Swap com desconto parcial aprovado via upload de evidência,"Dado que o vendedor está negociando uma permuta para um consumidor Pessoa Física (ex: criador de conteúdo)
Quando ele altera o valor da banda larga no carrinho de R$ 100,00 para R$ 40,00
Então o OmniScript bloqueia a transição direta para Contrato, exigindo o upload de um arquivo e enviando a cotação à aprovação gerencial.",New
B2C-N08,Critério 2 - Viabilidade Técnica Inválida para Endereço de Swap,"Dado que o vendedor inicia o processo informando o CEP do local da permuta
Quando o sistema executa a API de geolocalização e verifica que a distância da CTO excede 200m
Então a venda de fibra fixa é bloqueada imediatamente, disparando a oferta compulsória para produto de contingência Móvel.",New
B2C-N09,Critério 1 - Bloqueio de Upgrade por Fatura Vencida,"Dado que um cliente com 2 faturas em aberto liga no Call Center e aceita a oferta de upgrade
Quando o atendente clica em ""Modificar Plano (Change)""
Então o sistema faz a requisição no BSS, identifica a inadimplência e exibe uma tela obstrutiva com a mensagem ""Regularização de Débito Pendente"", impedindo o avanço para a adição de pacote.",New
B2C-N09,Critério 2 - Registro de Negociação e Nova Cotação,"Dado que o cliente recusa a primeira proposta ofertada pelo atendente
Quando o atendente marca a Cotação atual (Quote) como Rejeitada
Então o sistema congela a versão anterior e inicia um novo fluxo em branco para elaboração da segunda oferta (Quote v2) vinculada ao mesmo caso de venda.",New
B2C-N10,Critério 1 - Tentativa de Downgrade no Período Proibido,"Dado que o cliente adquiriu o produto há menos de 3 meses
Quando o agente tenta iniciar a jornada de MACD para reduzir o pacote
Então o sistema exibe notificação de validação bloqueando a ação, por descumprimento de carência mínima inicial.",New
B2C-N10,Critério 2 - Downgrade com Refidelização Substituta (Isenção de Multa),"Dado que o cliente possui um contrato ativo há 6 meses e pede o rebaixamento de banda
Quando o Agente configura o carrinho para a oferta menor e marca a opção ""Cliente Aceita Nova Refidelização de 12 Meses""
Então as regras do CPQ suprimem automaticamente a linha de faturamento de Multa Rescisória e parametrizam o recálculo do tempo de contrato (+12 meses) a partir de hoje.",New
B2C-N11,Critério 1 - Ajuste Forçado para Promoções Curtas,"Dado que o cliente aceita uma proposta de retenção com carência definida de 6 meses
Quando o pedido MACD é submetido com sucesso e muda para o status ""Ativado""
Então o Flow atua em background, atualiza o Termo de Fidelidade para +6 meses e seta compulsoriamente a Data de Reajuste Anual para 12 meses a partir do fechamento da cotação.",New
